2020-01-21	0	0	51269183	83.03
2020-01-22	0	0	51269183	83.03
2020-01-23	0	0	51269183	83.03
2020-01-24	1	0	51269183	83.03
2020-01-25	0	0	51269183	83.03
2020-01-26	1	0	51269183	83.03
2020-01-27	1	0	51269183	83.03
2020-01-28	0	0	51269183	83.03
2020-01-29	0	0	51269183	83.03
2020-01-30	0	0	51269183	83.03
2020-01-31	7	0	51269183	83.03
2020-02-01	1	0	51269183	83.03
2020-02-02	3	0	51269183	83.03
2020-02-03	0	0	51269183	83.03
2020-02-04	1	0	51269183	83.03
2020-02-05	3	0	51269183	83.03
2020-02-06	4	0	51269183	83.03
2020-02-07	1	0	51269183	83.03
2020-02-08	0	0	51269183	83.03
2020-02-09	1	0	51269183	83.03
2020-02-10	2	0	51269183	83.03
2020-02-11	1	0	51269183	83.03
2020-02-12	0	0	51269183	83.03
2020-02-13	0	0	51269183	83.03
2020-02-14	0	0	51269183	83.03
2020-02-15	0	0	51269183	83.03
2020-02-16	1	0	51269183	83.03
2020-02-17	1	0	51269183	83.03
2020-02-18	1	0	51269183	83.03
2020-02-19	0	0	51269183	83.03
2020-02-20	73	1	51269183	83.03
2020-02-21	100	1	51269183	83.03
2020-02-22	229	0	51269183	83.03
2020-02-23	169	4	51269183	83.03
2020-02-24	231	2	51269183	83.03
2020-02-25	144	2	51269183	83.03
2020-02-26	284	2	51269183	83.03
2020-02-27	505	1	51269183	83.03
2020-02-28	571	0	51269183	83.03
2020-02-29	813	3	51269183	83.03
2020-03-01	586	1	51269183	83.03
2020-03-02	599	11	51269183	83.03
2020-03-03	851	0	51269183	83.03
2020-03-04	435	7	51269183	83.03
2020-03-05	467	0	51269183	83.03
2020-03-06	505	7	51269183	83.03
2020-03-07	448	2	51269183	83.03
2020-03-08	273	6	51269183	83.03
2020-03-09	164	3	51269183	83.03
2020-03-10	35	1	51269183	83.03
2020-03-11	242	6	51269183	83.03
2020-03-12	114	6	51269183	83.03
2020-03-13	110	0	51269183	83.03
2020-03-14	107	6	51269183	83.03
2020-03-15	76	3	51269183	83.03
2020-03-16	74	0	51269183	83.03
2020-03-17	84	6	51269183	83.03
2020-03-18	93	3	51269183	83.03
2020-03-19	152	7	51269183	83.03
2020-03-20	87	3	51269183	83.03
2020-03-21	147	8	51269183	83.03
2020-03-22	162	9	51269183	83.03
2020-03-23	0	0	51269183	83.03
2020-03-24	76	9	51269183	83.03
2020-03-25	100	6	51269183	83.03
2020-03-26	104	5	51269183	83.03
2020-03-27	91	8	51269183	83.03
2020-03-28	146	5	51269183	83.03
2020-03-29	105	8	51269183	83.03
2020-03-30	78	6	51269183	83.03
2020-03-31	125	4	51269183	83.03
2020-04-01	101	3	51269183	83.03
2020-04-02	89	4	51269183	83.03
2020-04-03	86	5	51269183	83.03
2020-04-04	94	3	51269183	83.03
2020-04-05	81	6	51269183	83.03
2020-04-06	47	3	51269183	83.03
2020-04-07	47	6	51269183	83.03
2020-04-08	53	8	51269183	83.03
2020-04-09	39	4	51269183	83.03
2020-04-10	27	4	51269183	83.03
2020-04-11	30	3	51269183	83.03
2020-04-12	32	3	51269183	83.03
2020-04-13	25	3	51269183	83.03
2020-04-14	27	5	51269183	83.03
2020-04-15	27	3	51269183	83.03
2020-04-16	22	4	51269183	83.03
2020-04-17	22	1	51269183	83.03
2020-04-18	18	2	51269183	83.03
2020-04-19	8	2	51269183	83.03
2020-04-20	13	2	51269183	83.03
2020-04-21	9	1	51269183	83.03
2020-04-22	11	1	51269183	83.03
2020-04-23	14	2	51269183	83.03
2020-04-24	10	0	51269183	83.03
2020-04-25	10	2	51269183	83.03
2020-04-26	10	1	51269183	83.03
2020-04-27	14	1	51269183	83.03
2020-04-28	9	2	51269183	83.03
2020-04-29	4	1	51269183	83.03
2020-04-30	9	1	51269183	83.03
2020-05-01	6	2	51269183	83.03
2020-05-02	13	0	51269183	83.03
2020-05-03	8	2	51269183	83.03
2020-05-04	3	2	51269183	83.03
2020-05-05	2	1	51269183	83.03
2020-05-06	4	1	51269183	83.03
2020-05-07	12	0	51269183	83.03
2020-05-08	18	0	51269183	83.03
2020-05-09	34	0	51269183	83.03
2020-05-10	35	0	51269183	83.03
2020-05-11	27	2	51269183	83.03
2020-05-12	26	1	51269183	83.03
2020-05-13	29	1	51269183	83.03
2020-05-14	27	0	51269183	83.03
2020-05-15	19	2	51269183	83.03
2020-05-16	13	0	51269183	83.03
2020-05-17	15	1	51269183	83.03
2020-05-18	13	0	51269183	83.03
2020-05-19	32	0	51269183	83.03
2020-05-20	12	1	51269183	83.03
2020-05-21	20	0	51269183	83.03
2020-05-22	23	2	51269183	83.03
2020-05-23	25	0	51269183	83.03
2020-05-24	16	1	51269183	83.03
2020-05-25	19	2	51269183	83.03
2020-05-26	40	0	51269183	83.03
2020-05-27	79	0	51269183	83.03
2020-05-28	58	0	51269183	83.03
2020-05-29	39	0	51269183	83.03
2020-05-30	27	1	51269183	83.03
2020-05-31	35	1	51269183	83.03
2020-06-01	38	1	51269183	83.03
2020-06-02	49	1	51269183	83.03
2020-06-03	39	0	51269183	83.03
2020-06-04	39	0	51269183	83.03
2020-06-05	51	0	51269183	83.03
2020-06-06	57	0	51269183	83.03
2020-06-07	38	0	51269183	83.03
2020-06-08	38	1	51269183	83.03
2020-06-09	50	2	51269183	83.03
2020-06-10	45	0	51269183	83.03
2020-06-11	56	1	51269183	83.03
2020-06-12	48	0	51269183	83.03
2020-06-13	34	0	51269183	83.03
2020-06-14	36	0	51269183	83.03
2020-06-15	34	1	51269183	83.03
2020-06-16	43	1	51269183	83.03
2020-06-17	59	1	51269183	83.03
2020-06-18	49	0	51269183	83.03
2020-06-19	67	0	51269183	83.03
2020-06-20	48	0	51269183	83.03
2020-06-21	17	0	51269183	83.03
2020-06-22	46	1	51269183	83.03
2020-06-23	51	0	51269183	83.03
2020-06-24	28	1	51269183	83.03
2020-06-25	39	0	51269183	83.03
2020-06-26	51	0	51269183	83.03
2020-06-27	62	0	51269183	83.03
2020-06-28	42	0	51269183	83.03
2020-06-29	43	0	51269183	83.03
2020-06-30	50	0	51269183	83.03
2020-07-01	54	0	51269183	83.03
2020-07-02	63	0	51269183	83.03
2020-07-03	63	1	51269183	83.03
2020-07-04	61	0	51269183	83.03
2020-07-05	46	1	51269183	83.03
2020-07-06	44	1	51269183	83.03
2020-07-07	63	0	51269183	83.03
2020-07-08	49	2	51269183	83.03
2020-07-09	45	1	51269183	83.03
2020-07-10	35	0	51269183	83.03
2020-07-11	44	1	51269183	83.03
2020-07-12	62	0	51269183	83.03
2020-07-13	33	0	51269183	83.03
2020-07-14	39	0	51269183	83.03
2020-07-15	61	2	51269183	83.03
2020-07-16	60	2	51269183	83.03
2020-07-17	39	1	51269183	83.03
2020-07-18	34	1	51269183	83.03
2020-07-19	26	1	51269183	83.03
2020-07-20	45	0	51269183	83.03
2020-07-21	63	1	51269183	83.03
2020-07-22	59	0	51269183	83.03
2020-07-23	41	1	51269183	83.03
2020-07-24	113	0	51269183	83.03
2020-07-25	58	0	51269183	83.03
2020-07-26	25	1	51269183	83.03
2020-07-27	28	1	51269183	83.03
2020-07-28	48	0	51269183	83.03
2020-07-29	18	0	51269183	83.03
2020-07-30	36	1	51269183	83.03
2020-07-31	31	0	51269183	83.03
2020-08-01	30	0	51269183	83.03
2020-08-02	23	0	51269183	83.03
2020-08-03	34	0	51269183	83.03
2020-08-04	33	1	51269183	83.03
2020-08-05	43	0	51269183	83.03
2020-08-06	20	1	51269183	83.03
2020-08-07	43	1	51269183	83.03
2020-08-08	36	1	51269183	83.03
2020-08-09	28	0	51269183	83.03
2020-08-10	34	0	51269183	83.03
2020-08-11	54	0	51269183	83.03
2020-08-12	56	0	51269183	83.03
